Feed pump ,Destination,Inhibitor ,Drum,1-60%,61-65%,66-70%,71-75%,76-80%,81-85%,86-90%,91-95%,96-100%,101-105%,106-110%,111-115%,116-120%,121-125%,126-130%,131-135%,136-140%,141-145%,146-150%,151-155%
P-7102 A,D-5324,IQ,D-7101,25.8,28.0,30.2,32.3,34.5,36.6,38.8,40.9,43.1,45.2,47.4,49.5,51.7,53.8,56.0,58.2,60.3,62.5,64.6,66.8
P-7102 A,E-4220,IQ,D-7101,22.8,24.7,26.6,28.4,30.3,32.2,34.1,36.0,37.9,39.8,41.7,43.6,45.5,47.4,49.3,51.2,53.1,55.0,56.9,58.8
P-7102 A,E-3531,IQ,D-7101,27.5,29.7,32.0,34.3,36.6,38.9,41.2,43.5,45.8,48.1,50.3,52.6,54.9,57.2,59.5,61.8,64.1,66.4,68.6,70.9
P-7102 A,"Z-2303,Z-3233",IQ,D-7101,29.5,32.0,34.5,36.9,39.4,41.8,44.3,46.8,49.2,51.7,54.2,56.6,59.1,61.5,64.0,66.5,68.9,71.4,73.8,76.3
P-7102 A,E-3202,IQ,D-7101,26.3,28.5,30.6,32.8,35.0,37.2,39.4,41.6,43.8,46.0,48.1,50.3,52.5,54.7,56.9,59.1,61.3,63.5,65.7,67.8
P-7102 B,D-3120,IQ,D-7101,20.9,22.6,24.4,26.1,27.9,29.6,31.3,33.1,34.8,36.6,38.3,40.0,41.8,43.5,45.3,47.0,48.8,50.5,52.2,54.0
P-7102 B,"E-3520,E3522",IQ,D-7101,23.9,25.9,27.9,29.9,31.9,33.8,35.8,37.8,39.8,41.8,43.8,45.8,47.8,49.8,51.8,53.8,55.8,57.7,59.7,61.7
P-7102 B,"E-2520,E2522",IQ,D-7101,25.1,27.2,29.3,31.4,33.5,35.6,37.7,39.8,41.9,44.0,46.1,48.2,50.3,52.4,54.5,56.6,58.7,60.8,62.8,64.9
P-7102 B,C-2500 Reflux,IQ,D-7101,24.5,26.5,28.5,30.6,32.6,34.6,36.7,38.7,40.8,42.8,44.8,46.9,48.9,50.9,53.0,55.0,57.1,59.1,61.1,63.2
P-7102 B,"Z-2303,Z-3233",IQ,D-7101,25.2,27.2,29.3,31.4,33.5,35.6,37.7,39.8,41.9,44.0,46.1,48.2,50.3,52.4,54.5,56.6,58.7,60.8,62.8,64.9
P-7207-1,D-4424,IQ&IF,D-7200,21.6,23.4,25.2,27.0,28.8,30.6,32.4,34.2,36.0,37.8,39.6,41.4,43.2,45.0,46.8,48.6,50.4,52.2,54.0,55.8
P-7207-2,C-5200,IQ&IF,D-7224,8.8,9.6,10.3,11.0,11.8,12.5,13.2,14.0,14.7,15.4,16.2,16.9,17.6,18.4,19.1,19.8,20.6,21.3,22.1,22.8
P-7207-3,D-5425,IQ&IF,D-7224,8.1,8.8,9.5,10.1,10.8,11.5,12.2,12.8,13.5,14.2,14.9,15.5,16.2,16.9,17.6,18.2,18.9,19.6,20.3,20.9
P--7207-4,D-4524,IQ&IF,D-7206,18.0,19.5,21.0,22.5,24.0,25.5,27.0,28.5,30.0,31.5,33.0,34.5,36.0,37.5,39.0,40.5,47.3,48.0,50.7,52.4
P--7207-5,C-4400,IQ&IF,D-7206,2.2,2.2,2.2,2.2,2.2,2.4,2.5,2.8,2.9,3.0,3.1,3.2,3.3,3.5,3.6,3.8,3.9,4.0,4.1,4.3
P-7215-1,D-5624,IQ&IF,D-7224,10.3,11.1,12.0,12.8,13.7,14.5,15.4,16.2,17.1,18.0,18.8,19.7,20.5,21.4,22.2,23.1,43.1,44.6,46.2,47.7
P-7215-2,D-5425,IC,D-7214,10.8,11.7,12.6,13.5,14.4,15.3,16.2,17.1,18.0,18.9,19.8,20.7,21.6,22.5,23.4,24.3,25.2,26.1,27.0,27.9
P-7215-3,C-5500,IC,D-7214,14.4,15.6,16.8,18.0,19.2,20.4,21.6,22.8,24.0,25.2,26.4,27.6,28.8,30.0,31.2,32.4,33.6,34.8,36.0,37.2
P-7215-4,D-5720,DEA,D-7120,19.2,20.8,22.4,24.0,25.6,27.2,28.8,30.4,32.0,33.6,35.2,36.8,38.4,40.0,41.6,43.2,44.8,46.4,48.0,49.6
P-7215-5,C-4200,Antifoam,D-7110,19.2,20.8,22.4,24.0,25.6,27.2,28.8,30.4,32.0,33.6,35.2,36.8,38.4,40.0,41.6,43.2,44.8,46.4,48.0,49.6
P-7211-1,D-4325,IQ&IF,D-7200,21.6,23.4,25.2,27.0,28.8,30.6,32.4,34.2,36.0,37.8,39.6,41.4,43.2,45.0,46.8,48.6,50.4,52.2,54.0,55.8
P-7211-2,C-5700Reflux,IQ&IF,D-7224,10.1,10.9,11.8,12.6,13.4,14.3,15.1,16.0,16.8,17.6,18.5,19.3,20.2,21.0,21.8,22.7,23.5,24.4,25.2,26.0
P-7211-3,D-5725,IQ&IF,D-7224,8.1,8.8,9.5,10.1,10.8,11.5,12.2,12.8,13.5,14.2,14.9,15.5,16.2,16.9,17.6,18.2,18.9,19.6,20.3,20.9
P-7211-4,C-5700Reflux,IC,D-7214,10.8,11.7,12.6,13.5,14.4,15.3,16.2,17.1,18.0,18.9,19.8,20.7,21.6,22.5,23.4,24.3,25.2,26.1,27.0,27.9
P-7211-5,reflux C-4500,IQ&IF,D-7206,11.5,12.5,13.4,14.4,15.4,16.3,17.3,18.2,19.2,20.2,21.1,22.1,23.0,24.0,25.0,25.9,30.3,31.4,32.5,33.6
P-7203-1,C-4300,IQ&IF,D-7200,37.2,40.3,43.4,46.5,49.6,55.8,58.9,62.0,65.1,68.2,68.2,71.3,74.4,77.5,80.6,83.7,86.8,90.0,93.0,96.1
